Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
F12014,one_point,roulette,0.2,1087073223,[25.706221053619743; 66.49934635782424; -27.00683825507288; 19.976037635095395; 27.338497416630233; -89.44923924657935; -43.17006673180999; 42.51518824287149; 94.9603387391034; 22.97290595963632],3125403.328603649
F12014,one_point,roulette,0.3,1752663285,[37.2293388176746; 76.59641184828851; -68.63047919301597; -52.15028443635734; -0.34973386788996663; -86.24297719233498; -49.52303922636394; 2.639340796041296; 68.43768273982104; 41.047718701776375],3235163.913822737
F12014,one_point,roulette,0.3,85180663,[56.24228257153604; 60.555107847465365; -31.679815663611265; 59.43560420948563; 28.200590469231656; -42.841111051745465; -15.845009839527819; 40.69960002053722; 91.8367436162512; 97.0645541998831],251279.86413248154
F12014,one_point,roulette,0.3,2415741547,[30.110949739978764; 70.29062802907725; -60.76956092109511; -36.949938588508346; 32.090626825989034; -97.36251299633211; -18.886347271835675; 5.902153676397077; 73.5979044697591; 25.836097858626374],2759474.1555192503
F12014,one_point,roulette,0.3,4019668902,[36.74392758755235; 38.908016099218; -72.92539918640774; 24.38235773347823; -23.957117867773974; -93.01152901862282; -57.58032261804207; -9.972890156671; 63.84805899314932; 37.47016826791386],1216223.7027474411
F12014,one_point,roulette,0.3,4164567945,[17.136324175102118; 52.917355051448226; -31.56404733217674; 47.22647867010471; -33.954237676801895; -99.42204793134184; -84.77937272851935; 41.66068827767694; 92.90230406578982; 4.8001171828947236],3299776.2501210617
F12014,one_point,roulette,0.3,2526734085,[39.410996770303086; 50.33875607589465; -98.01757673945606; 83.1637398790038; -12.842614317697638; -98.76027718141451; -83.46092267417518; -40.61402536461394; 47.78434543096637; 36.27167933162261],1509734.5081747083
F12014,one_point,roulette,0.3,2188465709,[39.189920932136715; 89.54260948912074; -61.44348751085413; -41.69072148494188; 59.61843525352762; -97.26542411114782; 6.643775835294008; 1.0840920685510298; 72.12010931333234; 37.876244626716044],2246528.651840757
F12014,one_point,roulette,0.3,1650761128,[39.77105047722307; 56.14984367409639; -76.16760013634247; 97.21775692398921; 49.939520245162555; -92.58073046510214; 37.05971956444466; -11.154263372715207; 61.88156017201595; 41.29527075999465],1371157.8725187217
F12014,one_point,roulette,0.3,2938506154,[25.77647913380467; 63.75864967567421; -42.8241534202195; 70.67282156383976; 42.07091428760069; -98.54932220240202; 14.157802096062724; 24.124053923196072; 84.8093105671716; 18.88683009302467],2347743.2501286315
F12014,one_point,roulette,0.3,3559865890,[43.05444652592175; 63.80799144383266; -59.26567920503645; 53.66360488988596; 53.23629813074814; -92.51010606016494; 30.612981019896438; 5.3787892095302965; 72.19856178975601; 46.612585114799344],1437366.25226301
F12014,one_point,roulette,0.4,433197194,[40.98913985145958; 63.73736713059739; -25.195524446892037; 79.4460082776144; 33.82457536995054; -95.97056249928258; -18.677810393917028; 45.93182198072557; 96.10995024080046; 40.82759547250464],253057.34708955968
F12014,one_point,roulette,0.4,605958425,[44.52815495894208; 80.14403959814385; -30.570549308826727; 58.293703270983144; 84.03987627199004; -73.01101840806108; 40.19230441186343; 40.8955546700858; 91.573978781655; 59.812161505218654],1007584.261382205
F12014,one_point,roulette,0.4,169814209,[36.76151301393699; 31.697603814622823; -41.81126907066795; 94.90258485811677; -25.24030922476517; -97.66984213485293; -48.80586757824379; 27.251474333761408; 84.1799731033405; 33.394143162450405],1544581.7399784364
F12014,one_point,roulette,0.4,861729199,[32.709824055770326; 66.48279133313895; -66.78884517085402; 73.16278621759196; 22.895523904076498; -98.38928855477404; -32.08086027666282; 0.802784491928989; 68.61037106363267; 28.188930618850804],631267.5559518165
